name,release_date,english,developer,publisher,platforms,required_age,categories,genres,tags,achievements,average_playtime,price,short_description,estimated_sells,rating
An Aspie Life,2018-03-29,1,Bradley Hennessey;Joe Watson,EnderLost Studios,windows,0,Single-player;Steam Achievements,Adventure;Casual;Free to Play;Indie;Simulation,Free to Play;Adventure;Indie,23,0,0.0,"One day your roommate Leaves for no reason. You’re left to face the outside world alone. But this can be both difficult and amazing when you have autism. This game recreates how some people with autism perceive the world. All forms of sound, graphics and interactions are intentional.",3914,Mixed
GhostControl Inc.,2014-06-06,1,bumblebee,Application Systems Heidelberg,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Casual;Indie;Simulation;Strategy,Turn-Based;Indie;Simulation,53,65,10.99,Manage a team of ghosthunters and free London from paranormal terror in turn-based battles. Develop your own strategy and build your business well.,10728,Mixed
Deponia,2012-08-06,1,Daedalic Entertainment,Daedalic Entertainment,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Point & Click;Comedy,19,217,6.99,"In Deponia, the world has degenerated into a vast garbage dump, in which the crotchety Rufus ekes out his sorry existence.",635792,Positive
Atlas Reactor,2016-10-04,1,Trion Worlds,Trion Worlds,windows,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to Play;Strategy,Free to Play;Multiplayer;Strategy,121,1240,0.0,SEASON 6 NOW LIVE! The battle for Atlas continues as a hot (some might even say fiery) new freelancer enters the scene.,253864,Positive
CHUCHEL,2018-03-07,1,Amanita Design,Amanita Design,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Adventure;Indie;Casual,7,245,7.99,"CHUCHEL is a comedy adventure game from the creators of Machinarium, Botanicula and Samorost. Join the hairy hero Chuchel and his rival Kekel as they will be facing numerous puzzles and challenges in their quest to retrieve the precious cherry!",49818,Mostly Positive
LocoSoccer,2015-12-09,1,Startreming,Startreming,windows;linux,0,Single-player;Co-op;Steam Trading Cards;Partial Controller Support,Indie;Sports;Strategy,Sports;Indie;Strategy,0,237,0.75,"LocoSoccer is a fun, crazy physics-based soccer game where you must do a lot of goals to win cups and accesories for your team. Your objective is easy: win all cups with your goals. How awesome is that?",11966,Mixed
RimWorld,2018-10-17,1,Ludeon Studios,Ludeon Studios,windows;mac;linux,0,Single-player;Steam Workshop;Steam Cloud,Indie;Simulation;Strategy,Base-Building;Survival;Strategy,0,5017,27.79,"A sci-fi colony sim driven by an intelligent AI storyteller. Inspired by Dwarf Fortress and Firefly. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.",1497694,Very Positive
A Wild Catgirl Appears!,2016-01-04,1,NewWestGames,NewWestGames,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Memes;Visual Novel;Adventure,5,274,1.99,"A Wild Catgirl Appears is a short romance visual novel featuring multiple routes, different girls to date and of course, catgirls! You follow the story of Ami, a loner at high school, as she joins the school's coding club and sets about making her first video game.",12532,Negative
INFERNIUM,2018-04-03,1,Carlos Coronado,Carlos Coronado,windows,0,Single-player;Steam Achievements;Full controller support;Steam Workshop;Includes level editor;Commentary available,Adventure;Indie,Adventure;Indie;Horror,24,0,19.49,"Infernium, a survival horror approach to Pac-Man. Dive in a non-linear beautiful portrait of hell, die in a prison without bars and overcome a brutal penitence. Also available on Switch and PS4!",3914,Mixed
MINDNIGHT,2017-08-04,1,No Moon,No Moon,windows;mac;linux,0,Multi-player;Online Multi-Player;Steam Achievements;In-App Purchases;Stats,Free to Play;Indie;RPG;Strategy,Free to Play;RPG;Strategy,87,513,0.0,"MINDNIGHT is a free-to-play online multiplayer, a game of deceit, accusations and unpredictability. It challenges the player's ability to lie and detect other players that are lying.",49837,Positive
